obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
33701162.0,2.8,2.16,-0.6399999999999997,5162.85,4.586,-0.004,0.68,8.09,9.13,-11.37,-3.79e-05
201109190.0,0.3,0.94,0.6399999999999999,6162.8,3.9419999999999997,-2.012,9.72,36.56,54.85,8.8,2.94e-05
277904034.0,2.7,2.06,-0.6400000000000001,5422.98,4.69,-0.466,5.24,40.2,83.63,5.87,1.9600000000000002e-05
421713102.0,1.9,2.54,0.6400000000000001,5030.81,2.254,-0.526,1.26,19.55,62.99,2.99,9.97e-06
115005121.0,1.9,2.54,0.6400000000000001,5981.51,4.288,-0.031,1.78,18.0,30.34,-5.5,-1.83e-05
2614086.0,3.2,2.57,-0.6300000000000003,4773.92,3.47,0.177,0.76,15.47,33.14,7.22,2.4100000000000003e-05
327010090.0,1.9,2.53,0.6299999999999999,5417.16,3.863,-0.027999999999999997,5.76,32.39,52.9,-7.48,-2.5e-05
129203240.0,2.7,2.07,-0.6300000000000003,4938.12,2.3369999999999997,-0.636,6.4,35.96,61.55,14.88,4.96e-05
26911047.0,2.5,3.12,0.6200000000000001,4638.49,2.426,-0.024,0.3,13.78,52.52,-13.56,-4.52e-05
451312162.0,1.2,1.83,0.6300000000000001,5681.07,3.556,-0.807,7.5,37.95,41.07,-3.94,-1.31e-05
33309139.0,2.7,2.08,-0.6200000000000001,5671.93,4.44,-0.188,0.5,6.32,10.61,8.86,2.9600000000000005e-05
398208123.0,2.7,2.08,-0.6200000000000001,4954.17,2.365,-0.6970000000000001,1.55,19.95,47.16,11.02,3.68e-05
150507089.0,2.7,2.08,-0.6200000000000001,5493.9,4.382,-0.504,1.88,17.48,34.33,-5.34,-1.7800000000000002e-05
382609186.0,2.7,2.08,-0.6200000000000001,5321.87,4.4319999999999995,0.069,0.64,6.28,14.38,4.18,1.39e-05
123105075.0,2.5,3.12,0.6200000000000001,4877.99,2.642,-0.018000000000000002,2.25,51.73,147.36,2.26,7.54e-06
342906152.0,2.7,2.09,-0.6100000000000003,5487.46,4.47,-0.284,50.57,198.78,302.29,10.38,3.46e-05
449503011.0,1.9,2.51,0.6099999999999999,5460.96,3.861,0.071,4.93,37.6,45.83,-12.0,-4e-05
129102064.0,1.2,1.81,0.6100000000000001,6104.94,4.215,-0.22,5.39,26.31,31.47,-9.14,-3.05e-05
380609037.0,1.0,1.61,0.6100000000000001,6470.71,4.235,-0.22699999999999998,5.57,22.83,44.89,11.66,3.8900000000000004e-05
78608141.0,1.9,2.51,0.6099999999999999,5064.4,3.2880000000000003,-0.628,1.1,13.94,23.49,-8.33,-2.78e-05
274207006.0,1.9,1.29,-0.6099999999999999,6082.24,4.248,-0.171,7.37,40.33,55.71,-9.54,-3.18e-05
531707059.0,2.5,1.89,-0.6100000000000001,4723.18,2.541,0.024,4.73,46.16,51.42,8.97,2.99e-05
506814097.0,2.7,2.09,-0.6100000000000003,5839.26,3.891,-0.42200000000000004,1.14,8.62,11.59,-4.37,-1.4599999999999999e-05
506604062.0,1.9,2.51,0.6099999999999999,5581.89,4.654,-0.019,76.88,389.98,552.61,4.46,1.49e-05
507315081.0,2.0,1.39,-0.6100000000000001,5625.1,3.9939999999999998,-0.7879999999999999,2.19,13.84,17.79,-2.08,-6.94e-06
299410059.0,2.7,2.09,-0.6100000000000003,5534.57,4.473,-0.038,0.98,10.83,26.34,-0.07,-2.3399999999999998e-07
259014024.0,1.9,2.5,0.6000000000000001,5405.8,4.501,-0.066,1.24,17.72,32.84,-3.38,-1.13e-05
161107179.0,2.6,2.0,-0.6000000000000001,4983.17,3.446,-0.723,4.3,55.11,134.63,-11.19,-3.73e-05
365704199.0,1.9,2.5,0.6000000000000001,6068.79,4.811,0.209,0.59,9.28,18.42,-1.08,-3.6e-06
55605144.0,1.0,1.6,0.6000000000000001,6032.08,4.008,-0.294,2.52,16.87,17.67,1.44,4.8e-06
18205223.0,3.1,2.5,-0.6000000000000001,5086.66,4.55,-0.475,0.61,9.75,19.68,10.22,3.41e-05
370205172.0,1.2,1.8,0.6000000000000001,6108.2,4.279,-0.064,20.91,120.67,193.16,-9.27,-3.09e-05
180007092.0,2.5,1.91,-0.5900000000000001,5527.71,4.362,0.249,9.28,49.98,60.01,2.63,8.77e-06
298413242.0,2.5,1.91,-0.5900000000000001,5612.22,4.0569999999999995,0.33,8.72,94.51,148.57,-11.02,-3.68e-05
547408109.0,3.1,2.51,-0.5900000000000003,4870.84,3.255,-0.201,2.61,27.3,56.01,8.42,2.8100000000000002e-05
11410022.0,2.0,1.41,-0.5900000000000001,5805.27,3.929,-0.546,26.77,96.48,100.96,3.89,1.3000000000000001e-05
150902100.0,1.5,0.91,-0.59,5760.7,3.903,-2.04,5.61,24.61,35.41,9.14,3.05e-05
78602004.0,2.7,2.11,-0.5900000000000003,4979.42,2.068,-0.672,2.44,19.35,28.31,-13.35,-4.45e-05
385407045.0,2.5,1.91,-0.5900000000000001,6449.51,3.977,0.004,9.02,53.7,86.17,-1.59,-5.3e-06
142402203.0,2.7,2.11,-0.5900000000000003,5454.15,4.497,-0.355,33.0,121.02,154.16,-14.16,-4.72e-05
504405048.0,3.5,2.91,-0.5899999999999999,4491.32,4.7860000000000005,-0.358,0.07,9.13,15.49,-3.26,-1.09e-05
30103166.0,2.5,1.91,-0.5900000000000001,5556.55,3.1,0.08,1.17,13.18,30.87,5.74,1.91e-05
10907215.0,2.5,1.91,-0.5900000000000001,5410.26,3.6830000000000003,0.10800000000000001,3.21,30.68,58.78,-4.61,-1.5399999999999998e-05
189409211.0,2.5,3.09,0.5899999999999999,4864.25,2.949,-0.35700000000000004,4.76,41.57,100.69,6.61,2.2e-05
94206032.0,1.2,1.78,0.5800000000000001,5943.06,4.319,-0.5489999999999999,6.63,30.42,46.35,-8.68,-2.8999999999999997e-05
553511159.0,2.5,1.92,-0.5800000000000001,6170.53,4.178,-0.20800000000000002,5.28,31.14,71.63,13.96,4.66e-05
199808139.0,1.9,2.48,0.5800000000000001,5546.45,4.385,0.149,2.97,22.95,23.75,-0.65,-2.17e-06
569002030.0,1.2,1.78,0.5800000000000001,6031.87,4.149,-0.29,23.75,64.54,126.51,-3.26,-1.09e-05
365409030.0,2.5,3.08,0.5800000000000001,5422.31,3.965,0.309,0.81,11.5,33.44,-7.05,-2.35e-05
44916211.0,0.2,0.78,0.5800000000000001,6938.95,4.042,-0.48,4.81,15.94,11.74,7.11,2.37e-05
398008081.0,1.2,1.78,0.5800000000000001,5991.39,4.386,-0.345,19.57,78.07,100.71,-9.52,-3.18e-05
370801060.0,1.2,1.78,0.5800000000000001,6006.19,4.184,-0.217,13.42,59.92,108.29,-7.08,-2.36e-05
470311238.0,2.5,3.08,0.5800000000000001,4416.09,2.364,0.024,0.2,6.58,33.94,6.19,2.0600000000000003e-05
84214212.0,2.2,1.62,-0.5800000000000001,6043.87,4.41,-0.071,9.85,48.59,95.8,-4.68,-1.56e-05
427509077.0,3.3,2.73,-0.5699999999999998,4222.03,1.9480000000000002,-0.425,5.14,89.44,229.84,-3.23,-1.0800000000000002e-05
49202123.0,0.7,1.27,0.5700000000000001,6225.08,4.194,-1.077,3.2,7.79,6.59,1.08,3.6e-06
504606177.0,1.5,0.93,-0.57,6408.46,4.42,-0.465,1.79,11.71,20.82,9.28,3.1e-05
115703061.0,1.9,2.47,0.5700000000000003,5088.21,3.779,-0.314,4.9,21.33,25.24,10.62,3.54e-05
121703219.0,1.9,2.47,0.5700000000000003,5596.99,4.49,-0.222,3.56,21.28,33.82,-11.71,-3.91e-05
174516062.0,2.0,1.43,-0.5700000000000001,5845.33,4.023,-0.667,4.61,23.07,25.64,14.49,4.83e-05
194109166.0,2.5,3.07,0.5699999999999998,4966.0,3.553,-0.05,2.74,16.6,26.55,-0.85,-2.84e-06
387407242.0,1.9,2.47,0.5700000000000003,5487.29,4.28,-0.46299999999999997,2.24,17.09,23.61,11.11,3.71e-05
